id,place_name,county,country,grid_reference,easting,northing,latitude,longitude,postcode_area,type
1,Aaron's Hill,Surrey,England,SU9543,495500,143500,51.18276,-0.63503,GU7 2,Other
2,Abbas Combe,Somerset,England,ST7022,370500,122500,51.00113,-2.42178,BA8 0,Other
3,Abberley,Worcestershire,England,SO7467,374500,267500,52.30502,-2.37541,WR6 6,Other
4,Abberton,Essex,England,TM0019,600500,219500,51.83810,0.90891,CO5 7,Other
5,Abberton,Worcestershire,England,SO9953,399500,253500,52.17975,-2.00873,WR10 2,Other
6,Abbess End,Essex,England,TL5711,557500,211500,51.78000,0.28172,CM5 0,Other
7,Abbess Roding,Essex,England,TL5711,557500,211500,51.78000,0.28172,CM5 0,Other
8,Abbey,Devon,England,ST1410,314500,110500,50.88764,-3.21690,EX15 3,Other
9,Abbeycwmhir,Powys,Wales,SO0571,305500,271500,52.33342,-3.38828,LD1 6,Other
11,Abbeydale,South Yorkshire,England,SK3282,432500,382500,53.33841,-1.51337,S7 2,Other
10,Abbeydale,Gloucestershire,England,SO8616,386500,216500,51.84693,-2.19738,GL4 5,Other
12,Abbeydale Park,South Yorkshire,England,SK3180,431500,380500,53.32049,-1.52859,S17 3,Other
13,Abbey Dore,Herefordshire,England,SO3830,338500,230500,51.96955,-2.89663,HR2 0,Other
14,Abbey Field,Essex,England,TL9924,599500,224500,51.88336,0.89730,CO2 7,Other
15,Abbey Gate,Kent,England,TQ7558,575500,158500,51.29857,0.51599,ME14 3,Other
16,Abbey Gate,Devon,England,SY2997,329500,97500,50.77278,-3.00118,EX13 5,Other
17,Abbey Green,Shropshire,England,SJ5033,350500,333500,52.89665,-2.73726,SY13 2,Other
18,Abbey Green,Staffordshire,England,SJ9757,397500,357500,53.11468,-2.03880,ST13 8,Other
19,Abbey Hey,Greater Manchester,England,SJ8996,389500,396500,53.46514,-2.15963,M18 8,Other
20,Abbeyhill,City of Edinburgh,Scotland,NT2774,327500,674500,55.95803,-3.16277,EH7 5,Other
21,Abbey Hulton,Staffordshire,England,SJ9148,391500,348500,53.03371,-2.12820,ST2 8,Other
22,Abbey Mead,Surrey,England,TQ0467,504500,167500,51.39692,-0.49929,KT16 8,Other
23,Abbey St Bathans,Scottish Borders,Scotland,NT7662,376500,662500,55.85512,-2.37696,TD11 3,Other
24,Abbeystead,Lancashire,England,SD5654,356500,454500,53.98471,-2.66485,LA2 9,Other
25,Abbeytown,Cumbria,England,NY1750,317500,550500,54.84249,-3.28619,CA7 4,Other
26,Abbey Village,Lancashire,England,SD6422,364500,422500,53.69772,-2.53915,PR6 8,Other
27,Abbey Wood,Greenwich - Greater London,England,TQ4678,546550,178550,51.48692,0.10933,SE2 0,Other
28,Abbey Yard,Dumfries and Galloway,Scotland,NX7364,273500,564500,54.95903,-3.97713,DG7 2,Other
29,Abbots Bickington,Devon,England,SS3813,238500,113500,50.89833,-4.29798,EX22 7,Other
30,Abbots Bromley,Staffordshire,England,SK0824,408500,324500,52.81797,-1.87532,WS15 3,Other
31,Abbotsbury,Dorset,England,SY5785,357500,85500,50.66761,-2.60274,DT3 4,Other
32,Abbotsford,West Sussex,England,TQ3020,530500,120500,50.96914,-0.14281,RH15 8,Other
33,Abbotsham,Devon,England,SS4226,242500,126500,51.01625,-4.24677,EX39 5,Other
34,Abbotskerswell,Devon,England,SX8568,285500,68500,50.50507,-3.61599,TQ12 5,Other
35,Abbots Langley,Hertfordshire,England,TL0901,509500,201500,51.70157,-0.41688,WD5 0,Other
36,Abbotsleigh,Devon,England,SX8048,280500,48500,50.32428,-3.68010,TQ9 7,Other
37,Abbots Leigh,Somerset,England,ST5473,354500,173500,51.45864,-2.65628,BS8 3,Other
38,Abbotsley,Cambridgeshire,England,TL2256,522500,256500,52.19314,-0.20928,PE19 6,Other
39,Abbot's Meads,Cheshire,England,SJ3967,339500,367500,53.20112,-2.90716,CH1 5,Other
40,Abbots Morton,Worcestershire,England,SP0255,402500,255500,52.19773,-1.96484,WR7 4,Other
41,Abbots Ripton,Cambridgeshire,England,TL2377,523500,277500,52.38162,-0.18697,PE28 2,Other
42,Abbot's Salford,Warwickshire,England,SP0650,406500,250500,52.15274,-1.90641,WR11 8,Other
43,Abbotstone,Hampshire,England,SU5634,456500,134500,51.10702,-1.19435,SO24 9,Other
44,Abbotswood,Surrey,England,TQ0051,500500,151500,51.25382,-0.56128,GU1 1,Other
45,Abbots Worthy,Hampshire,England,SU4932,449500,132500,51.08968,-1.29460,SO23 7,Other
46,Abbotts Ann,Hampshire,England,SU3243,432500,143500,51.18981,-1.53633,SP11 7,Other
47,Abcott,Shropshire,England,SO3978,339500,278500,52.40115,-2.89065,SY7 0,Other
48,Abdon,Shropshire,England,SO5786,357500,286500,52.47477,-2.62713,SY7 9,Other
49,Abdy,South Yorkshire,England,SK4398,443500,398500,53.48143,-1.34598,S62 7,Other
50,Aberaeron,Ceredigion,Wales,SN4562,245500,262500,52.23895,-4.26409,SA46 0,Town
51,Aberaman,Rhondda Cynon Taf,Wales,SO0101,301500,201500,51.70357,-3.42680,CF44 6,Other
52,Aberangell,Gwynedd,Wales,SH8410,284500,310500,52.67985,-3.70989,SY20 9,Other
53,Aber Arad,Carmarthenshire,Wales,SN3140,231500,240500,52.03723,-4.45802,SA38 9,Other
54,Aberarder,Highland,Scotland,NN4787,247500,787500,56.95353,-4.50913,PH20 1,Other
55,Aberargie,Perth and Kinross,Scotland,NO1615,316500,715500,56.32450,-3.35177,PH2 9,Other
56,Aberarth,Ceredigion,Wales,SN4763,247500,263500,52.24849,-4.23528,SA46 0,Other
57,Aberavon,Neath Port Talbot,Wales,SS7590,275500,190500,51.59954,-3.79895,SA12 6,Other
58,Aber-banc,Ceredigion,Wales,SN3541,235500,241500,52.04741,-4.40024,SA44 5,Other
59,Aberbargoed/Aberbargod,Caerphilly,Wales,SO1500,315500,200500,51.69686,-3.22402,CF81 9,Other
60,Aberbechan,Powys,Wales,SO1393,313500,293500,52.53247,-3.27661,SY16 3,Other
61,Aberbeeg,Blaenau Gwent,Wales,SO2102,321500,202500,51.71571,-3.13767,NP13 2,Other
62,Aberbran,Powys,Wales,SN9829,298500,229500,51.95469,-3.47842,LD3 9,Other
63,Abercanaid,Merthyr Tydfil,Wales,SO0503,305500,203500,51.72223,-3.36948,CF48 1,Other
64,Abercarn,Caerphilly,Wales,ST2194,321500,194500,51.64380,-3.13587,NP11 5,Town
65,Abercastle,Pembrokeshire,Wales,SM8533,185500,233500,51.95850,-5.12332,SA62 5,Other
66,Abercegir,Powys,Wales,SH8001,280500,301500,52.59811,-3.76576,SY20 8,Other
67,Aberchalder,Highland,Scotland,NH3403,234500,803500,57.09263,-4.73314,PH35 4,Other
68,Aberchirder,Aberdeenshire,Scotland,NJ6252,362500,852500,57.56102,-2.62841,AB54 7,Town
69,Abercorn,West Lothian,Scotland,NT0878,308500,678500,55.99071,-3.46835,EH30 9,Other
70,Abercraf,Powys,Wales,SN8112,281500,212500,51.79855,-3.71984,SA9 1,Other
71,Abercregan,Neath Port Talbot,Wales,SS8596,285500,196500,51.65559,-3.65660,SA13 3,Other
72,Abercrombie,Fife,Scotland,NO5102,351500,702500,56.21260,-2.78352,KY10 2,Other
73,Abercwmboi,Rhondda Cynon Taf,Wales,ST0299,302500,199500,51.68576,-3.41177,CF44 6,Other
74,Abercych,Pembrokeshire,Wales,SN2440,224500,240500,52.03506,-4.55997,SA37 0,Other
75,Abercynon,Rhondda Cynon Taf,Wales,ST0895,308500,195500,51.65082,-3.32396,CF45 4,Town
76,Aber-Cywarch,Gwynedd,Wales,SH8615,286500,315500,52.72520,-3.68205,SY20 9,Other
77,Aberdalgie,Perth and Kinross,Scotland,NO0720,307500,720500,56.36773,-3.49900,PH2 0,Other
78,Aberdare/Aberdar,Rhondda Cynon Taf,Wales,SO0002,300500,202500,51.71238,-3.44155,CF44 7,Town
79,Aberdaron,Gwynedd,Wales,SH1726,217500,326500,52.80509,-4.70886,LL53 8,Other
80,Aberdeen,Aberdeen City,Scotland,NJ9206,392500,806500,57.14932,-2.12559,AB15 5,City
81,Aberdesach,Gwynedd,Wales,SH4251,242500,351500,53.03752,-4.35048,LL54 5,Other
82,Aberdour,Fife,Scotland,NT1985,319500,685500,56.05556,-3.29417,KY3 0,Other
83,Aberdulais,Neath Port Talbot,Wales,SS7799,277500,199500,51.68086,-3.77324,SA11 3,Other
84,Aberdyfi,Gwynedd,Wales,SN6196,261500,296500,52.54868,-4.04401,LL35 0,Other
85,Abereiddy,Pembrokeshire,Wales,SM7931,179500,231500,51.93820,-5.20922,SA62 6,Other
86,Abererch,Gwynedd,Wales,SH3936,239500,336500,52.90191,-4.38774,LL53 6,Other
87,Aberfan,Merthyr Tydfil,Wales,SO0700,307500,200500,51.69560,-3.33973,CF48 4,Other
88,Aberfeldy,Perth and Kinross,Scotland,NN8549,285500,749500,56.62331,-3.86771,PH15 2,Town
89,Aberffraw,Isle of Anglesey,Wales,SH3568,235500,368500,53.18808,-4.46350,LL63 5,Other
90,Aberffrwd,Ceredigion,Wales,SN6878,268500,278500,52.38869,-3.93374,SY23 3,Other
91,Aberffrwd,Monmouthshire,Wales,SO3509,335500,209500,51.78043,-2.93636,NP7 9,Other
92,Aberford,West Yorkshire,England,SE4337,443500,437500,53.83195,-1.34054,LS25 3,Other
93,Aberfoyle,Stirling,Scotland,NN5200,252500,700500,56.17425,-4.37748,FK8 3,Other
94,Abergarw,Bridgend,Wales,SS9184,291500,184500,51.54893,-3.56618,CF32 9,Other
95,Abergarwed,Neath Port Talbot,Wales,SN8102,281500,202500,51.70868,-3.71643,SA11 4,Other
96,Abergavenny/Y Fenni,Monmouthshire,Wales,SO2914,329500,214500,51.82465,-3.02433,NP7 5,Town
97,Abergele,Conwy,Wales,SH9477,294500,377500,53.28394,-3.58391,LL22 7,Town
98,Aber-Giâr,Carmarthenshire,Wales,SN5041,250500,241500,52.05167,-4.18168,SA40 9,Other
99,Abergorlech,Carmarthenshire,Wales,SN5833,258500,233500,51.98189,-4.06179,SA32 7,Other
100,Abergwesyn,Powys,Wales,SN8552,285500,252500,52.15886,-3.67522,LD5 4,Other
101,Abergwili,Carmarthenshire,Wales,SN4321,243500,221500,51.87006,-4.27457,SA31 2,Other
102,Abergwynfi,Neath Port Talbot,Wales,SS8996,289500,196500,51.65639,-3.59880,SA13 3,Other
103,Abergwyngregyn,Gwynedd,Wales,SH6572,265500,372500,53.23245,-4.01652,LL33 0,Other
104,Abergynolwyn,Gwynedd,Wales,SH6706,267500,306500,52.64002,-3.95959,LL36 9,Other
105,Aberhosan,Powys,Wales,SN8097,280500,297500,52.56217,-3.76432,SY20 8,Other
106,Aberkenfig,Bridgend,Wales,SS8983,289500,183500,51.53955,-3.59470,CF32 9,Other
107,Aberlady,East Lothian,Scotland,NT4679,346500,679500,56.00544,-2.85950,EH32 0,Other
108,Aberlemno,Angus,Scotland,NO5255,352500,755500,56.68881,-2.77706,DD8 3,Other
109,Aberlerry,Ceredigion,Wales,SN6092,260500,292500,52.51249,-4.05707,SY24 5,Other
110,Aberllefenni,Gwynedd,Wales,SH7709,277500,309500,52.66932,-3.81300,SY20 9,Other
111,Abermagwr,Ceredigion,Wales,SN6673,266500,273500,52.34328,-3.96112,SY23 4,Other
112,Abermorddu,Flintshire,Wales,SJ3056,330500,356500,53.10115,-3.03947,LL12 9,Other
113,Abermule/Aber-miwl,Powys,Wales,SO1694,316500,294500,52.54193,-3.23265,SY15 6,Other
114,Abernant,Carmarthenshire,Wales,SN3323,233500,223500,51.88513,-4.42065,SA33 5,Other
115,Abernant,Powys,Wales,SO1797,317500,297500,52.56904,-3.21865,SY15 6,Other
116,Abernethy,Perth and Kinross,Scotland,NO1816,318500,716500,56.33383,-3.31975,PH2 9,Other
117,Abernyte,Perth and Kinross,Scotland,NO2531,325500,731500,56.46971,-3.21083,PH14 9,Other
118,Aber-oer,Wrexham,Wales,SJ2849,328500,349500,53.03798,-3.06778,LL14 4,Other
119,Aberporth,Ceredigion,Wales,SN2651,226500,251500,52.13449,-4.53644,SA43 2,Other
120,Abersoch,Gwynedd,Wales,SH3128,231500,328500,52.82761,-4.50242,LL53 7,Other
121,Abersychan,Torfaen,Wales,SO2603,326500,203500,51.72538,-3.06552,NP4 7,Town
122,Aberthin,The Vale of Glamorgan,Wales,ST0075,300500,175500,51.46969,-3.43389,CF71 7,Other
123,Abertillery/Abertyleri,Blaenau Gwent,Wales,SO2104,321500,204500,51.73369,-3.13812,NP13 1,Town
124,Abertridwr,Caerphilly,Wales,ST1289,312500,189500,51.59752,-3.26466,CF83 4,Other
125,Abertridwr,Powys,Wales,SJ0319,303500,319500,52.76445,-3.43160,SY10 0,Other
126,Abertrinant,Gwynedd,Wales,SH6305,263500,305500,52.63004,-4.01825,LL36 9,Other
127,Abertysswg,Caerphilly,Wales,SO1305,313500,205500,51.74150,-3.25419,NP22 5,Other
128,Aberuthven,Perth and Kinross,Scotland,NN9715,297500,715500,56.32077,-3.65886,PH3 1,Other
129,Aber Village,Powys,Wales,SO1021,310500,221500,51.88485,-3.30176,LD3 7,Other
130,Aberwheeler/Aberchwiler,Denbighshire,Wales,SJ0969,309500,369500,53.21482,-3.35671,LL16 4,Other
131,Aberyscir,Powys,Wales,SN9929,299500,229500,51.95488,-3.46387,LD3 9,Other
132,Aberystwyth,Ceredigion,Wales,SN5881,258500,281500,52.41314,-4.08185,SY23 1,Town
133,Abhainn Suidhe,Na h-Eileanan an Iar,Scotland,NB0408,104500,908500,57.96729,-6.99897,HS3 3,Other
134,Abingdon-on-Thames,Oxfordshire,England,SU5198,451500,198500,51.68291,-1.25649,OX14 3,Town
135,Abinger Common,Surrey,England,TQ1145,511500,145500,51.19785,-0.40558,RH5 6,Other
136,Abinger Hammer,Surrey,England,TQ0947,509500,147500,51.21621,-0.43358,RH5 6,Other
137,Abington,South Lanarkshire,Scotland,NS9323,293500,623500,55.49365,-3.68723,ML12 6,Other
138,Abington,Northamptonshire,England,SP7761,477500,261500,52.24623,-0.86629,NN1 5,Other
139,Abington Pigotts,Cambridgeshire,England,TL3044,530500,244500,52.08348,-0.09691,SG8 0,Other
140,Abington Vale,Northamptonshire,England,SP7861,478500,261500,52.24609,-0.85165,NN3 3,Other
141,Abingworth,West Sussex,England,TQ1016,510500,116500,50.93737,-0.42874,RH20 3,Other
142,Ab Kettleby,Leicestershire,England,SK7223,472500,323500,52.80419,-0.92601,LE14 3,Other
143,Ab Lench,Worcestershire,England,SP0151,401500,251500,52.16177,-1.97949,WR11 4,Other
144,Ablington,Wiltshire,England,SU1546,415500,146500,51.21749,-1.77946,SP4 8,Other
145,Ablington,Gloucestershire,England,SP1007,410500,207500,51.76608,-1.84925,GL7 5,Other
146,Abney,Derbyshire,England,SK1979,419500,379500,53.31208,-1.70879,S32 1,Other
147,Aboyne,Aberdeenshire,Scotland,NO5298,352500,798500,57.07506,-2.78512,AB34 5,Other
148,Abraham Heights,Lancashire,England,SD4661,346500,461500,54.04668,-2.81857,LA1 5,Other
149,Abram,Greater Manchester,England,SD6001,360500,401500,53.50869,-2.59706,WN2 5,Town
150,Abriachan,Highland,Scotland,NH5535,255500,835500,57.38691,-4.40556,IV3 8,Other
151,Abridge,Essex,England,TQ4696,546500,196500,51.64821,0.11609,RM4 1,Other
152,Abronhill,North Lanarkshire,Scotland,NS7875,278500,675500,55.95710,-3.94762,G67 3,Other
153,Abshot,Hampshire,England,SU5105,451500,105500,50.84674,-1.26986,PO14 4,Other
154,Abson,Gloucestershire,England,ST7074,370500,174500,51.46869,-2.42608,BS30 5,Other
155,Abthorpe,Northamptonshire,England,SP6446,464500,246500,52.11307,-1.05952,NN12 8,Other
156,Abune-the-hill,Orkney Islands,Scotland,HY2828,328500,1028500,59.13727,-3.25124,KW17 2,Other
157,Aby,Lincolnshire,England,TF4178,541500,378500,53.28459,0.12106,LN13 0,Other
158,Acarsaid,Highland,Scotland,NM5872,158500,772500,56.78124,-5.95504,PH36 4,Other
159,Acaster Malbis,North Yorkshire,England,SE5845,458500,445500,53.90237,-1.11113,YO23 2,Other
160,Acaster Selby,North Yorkshire,England,SE5741,457500,441500,53.86654,-1.12710,YO23 7,Other
161,Accrington,Lancashire,England,SD7528,375500,428500,53.75228,-2.37303,BB5 0,Town
162,Acha,Argyll and Bute,Scotland,NM1854,118500,754500,56.59761,-6.58795,PA78 6,Other
163,Achachork,Highland,Scotland,NG4745,147500,845500,57.42943,-6.20819,IV51 9,Other
164,Achadh nan Darach,Highland,Scotland,NN0055,200500,755500,56.64865,-5.25567,PA38 4,Other
165,Achahoish,Argyll and Bute,Scotland,NR7877,178500,677500,55.93936,-5.54828,PA31 8,Other
166,Achaleven,Argyll and Bute,Scotland,NM9133,191500,733500,56.44743,-5.38452,PA37 1,Other
167,Achalone,Highland,Scotland,ND1556,315500,956500,58.48848,-3.45108,KW12 6,Other
168,Acha Mòr,Na h-Eileanan an Iar,Scotland,NB3128,131500,928500,58.16346,-6.56695,HS2 9,Other
169,Achanelid,Argyll and Bute,Scotland,NS0087,200500,687500,56.03870,-5.20408,PA22 3,Other
170,Ach'an Tobhair,Highland,Scotland,NN0972,209500,772500,56.80490,-5.12175,PH33 6,Other
171,Achaphubuil,Highland,Scotland,NN0876,208500,776500,56.84037,-5.14110,PH33 7,Other
172,Acharacle/Ath-Tharracail,Highland,Scotland,NM6767,167500,767500,56.74100,-5.80354,PH36 4,Other
173,Achargary,Highland,Scotland,NC7254,272500,954500,58.46008,-4.18700,KW14 7,Other
175,Acharn,Perth and Kinross,Scotland,NN7543,275500,743500,56.56689,-4.02769,PH15 2,Other
174,Acharn,Angus,Scotland,NO2876,328500,776500,56.87436,-3.17467,DD8 4,Other
176,Achavandra Muir,Highland,Scotland,NH7793,277500,893500,57.91400,-4.06929,IV25 3,Other
177,Achddu,Carmarthenshire,Wales,SN4401,244500,201500,51.69066,-4.25109,SA16 0,Other
178,Achfary,Highland,Scotland,NC2939,229500,939500,58.31086,-4.91192,IV27 4,Other
179,Achfrish,Highland,Scotland,NC5612,256500,912500,58.07824,-4.43495,IV27 4,Other
180,Achgarve,Highland,Scotland,NG8893,188500,893500,57.88069,-5.56884,IV22 2,Other
181,Achiemore,Highland,Scotland,NC8958,289500,958500,58.50062,-3.89776,KW13 6,Other
182,A' Chill,Highland,Scotland,NG2605,126500,805500,57.05909,-6.51277,PH44 4,Other
183,Achiltibuie,Highland,Scotland,NC0208,202500,908500,58.02160,-5.34570,IV26 2,Other
184,Achina,Highland,Scotland,NC7060,270500,960500,58.51334,-4.22466,KW14 7,Other
185,Achininver,Highland,Scotland,NC5764,257500,964500,58.54517,-4.45009,IV27 4,Other
186,Achintee,Highland,Scotland,NG9441,194500,841500,57.41726,-5.42362,IV54 8,Other
187,Achintraid,Highland,Scotland,NG8438,184500,838500,57.38573,-5.58714,IV54 8,Other
188,Achleck,Argyll and Bute,Scotland,NM4145,141500,745500,56.53021,-6.20544,PA73 6,Other
189,Achluachrach,Highland,Scotland,NN3081,230500,781500,56.89378,-4.78428,PH31 4,Other
190,Achlyness,Highland,Scotland,NC2452,224500,952500,58.42549,-5.00704,IV27 4,Other
191,Achmelvich,Highland,Scotland,NC0524,205500,924500,58.16639,-5.30828,IV27 4,Other
192,Achmore,Highland,Scotland,NG8533,185500,833500,57.34138,-5.56618,IV53 8,Other
193,Achmore,Highland,Scotland,NH0296,202500,896500,57.91400,-5.33568,IV23 2,Other
194,Achnacarnin,Highland,Scotland,NC0432,204500,932500,58.23768,-5.33196,IV27 4,Other
195,Achnacarry,Highland,Scotland,NN1787,217500,787500,56.94267,-5.00170,PH34 4,Other
196,Achnacloich/Ach na Cloiche,Highland,Scotland,NG5908,159500,808500,57.10438,-5.97293,IV46 8,Other
197,Achnacroish,Argyll and Bute,Scotland,NM8540,185500,740500,56.50751,-5.48742,PA34 5,Other
198,Achnaha,Highland,Scotland,NM4668,146500,768500,56.73902,-6.14696,PH36 4,Other
199,Achnahanat,Highland,Scotland,NH5198,251500,898500,57.95097,-4.51082,IV27 4,Other
200,Achnahannet,Highland,Scotland,NH9727,297500,827500,57.32648,-3.70393,PH26 3,Other
201,Achnahard,Argyll and Bute,Scotland,NM3923,139500,723500,56.33200,-6.21596,PA67 6,Other
202,Achnahuaigh,Highland,Scotland,NC5864,258500,964500,58.54549,-4.43292,IV27 4,Other
203,Achnairn,Highland,Scotland,NC5512,255500,912500,58.07791,-4.45189,IV27 4,Other
204,Achnamara,Argyll and Bute,Scotland,NR7787,177500,687500,56.02857,-5.57252,PA31 8,Other
205,Achnasheen/Achadh na Sine,Highland,Scotland,NH1658,216500,858500,57.57916,-5.07070,IV22 2,Other
206,Achosnich,Highland,Scotland,NM4467,144500,767500,56.72897,-6.17857,PH36 4,Other
207,Achreamie,Highland,Scotland,ND0166,301500,966500,58.57531,-3.69543,KW14 7,Other
208,Achriesgill,Highland,Scotland,NC2554,225500,954500,58.44383,-4.99147,IV27 4,Other
209,Achrimsdale,Highland,Scotland,NC9006,290500,906500,58.03409,-3.85604,KW9 6,Other
210,Achtalean,Highland,Scotland,NG4746,147500,846500,57.43839,-6.20922,IV51 9,Other
211,Achterneed,Highland,Scotland,NH4859,248500,859500,57.60000,-4.53678,IV14 9,Other
212,Achtoty,Highland,Scotland,NC6762,267500,962500,58.53038,-4.27727,KW14 7,Other
213,Achurch,Northamptonshire,England,TL0282,502500,282500,52.43088,-0.49384,PE8 5,Other
214,Achuvoldrach,Highland,Scotland,NC5658,256500,958500,58.49100,-4.46347,IV27 4,Other
215,Ackenthwaite,Cumbria,England,SD5081,350500,481500,54.22681,-2.76077,LA7 7,Other
216,Ackergill,Highland,Scotland,ND3553,335500,953500,58.46497,-3.10727,KW1 4,Other
217,Acklam,North Yorkshire,England,NZ4817,448500,517500,54.55043,-1.25170,TS5 7,Other
218,Acklam,North Yorkshire,England,SE7861,478500,461500,54.04351,-0.80268,YO17 9,Other
219,Ackleton,Shropshire,England,SO7798,377500,298500,52.58384,-2.33351,WV6 7,Other
220,Acklington,Northumberland,England,NU2201,422500,601500,55.30708,-1.64711,NE65 9,Other
221,Ackton,West Yorkshire,England,SE4121,441500,421500,53.68831,-1.37307,WF7 6,Other
222,Ackworth Moor Top,West Yorkshire,England,SE4316,443500,416500,53.64321,-1.34348,WF7 7,Other
223,Acle,Norfolk,England,TG4010,640500,310500,52.63890,1.55313,NR13 3,Other
224,Acock's Green,West Midlands,England,SP1183,411500,283500,52.44934,-1.83222,B27 7,Other
225,Acol,Kent,England,TR3067,630500,167500,51.35978,1.30949,CT7 0,Other
226,Acomb,Northumberland,England,NY9366,393500,566500,54.99304,-2.10312,NE46 4,Other
227,Acomb,North Yorkshire,England,SE5750,457500,450500,53.94742,-1.12541,YO24 3,Other
228,Acre,Greater Manchester,England,SD9306,393500,406500,53.55508,-2.09959,OL1 4,Other
229,Acrefair,Wrexham,Wales,SJ2743,327500,343500,52.98392,-3.08134,LL14 3,Other
230,Acres Nook,Staffordshire,England,SJ8453,384500,353500,53.07850,-2.23283,ST7 4,Other
235,Acton,Suffolk,England,TL8944,589500,244500,52.06645,0.76322,CO10 0,Other
232,Acton,Shropshire,England,SO3184,331500,284500,52.45414,-3.00945,SY9 5,Other
234,Acton,Cheshire,England,SJ6353,363500,353500,53.07747,-2.54629,CW5 8,Other
236,Acton,Ealing - Greater London,England,TQ2080,520550,180550,51.51103,-0.26425,W3 6,Town
233,Acton,Wrexham,Wales,SJ3451,334500,351500,53.05672,-2.97872,LL12 7,Other
237,Acton,Dorset,England,SY9878,398500,78500,50.60622,-2.02256,BH19 3,Other
231,Acton,Worcestershire,England,SO8467,384500,267500,52.30540,-2.22875,DY13 9,Other
238,Acton,Staffordshire,England,SJ8241,382500,341500,52.97057,-2.26203,ST5 4,Other
239,Acton Beauchamp,Herefordshire,England,SO6750,367500,250500,52.15182,-2.47642,WR6 5,Other
240,Acton Bridge,Cheshire,England,SJ5975,359500,375500,53.27493,-2.60879,CW8 3,Other
241,Acton Burnell,Shropshire,England,SJ5301,353500,301500,52.60928,-2.68812,SY5 7,Other
242,Acton Green,Hounslow - Greater London,England,TQ2079,520500,179500,51.50160,-0.26533,W4 5,Other
243,Acton Green,Herefordshire,England,SO6950,369500,250500,52.15193,-2.44719,WR6 5,Other
244,Acton Pigott,Shropshire,England,SJ5402,354500,302500,52.61835,-2.67349,SY5 7,Other
245,Acton Place,Suffolk,England,TL8845,588500,245500,52.07577,0.74920,CO10 0,Other
246,Acton Reynald,Shropshire,England,SJ5323,353500,323500,52.80703,-2.69124,SY4 4,Other
247,Acton Round,Shropshire,England,SO6395,363500,295500,52.55611,-2.53979,WV16 6,Other
248,Acton Scott,Shropshire,England,SO4589,345500,289500,52.50066,-2.80428,SY6 6,Other
249,Acton Trussell,Staffordshire,England,SJ9318,393500,318500,52.76406,-2.09777,ST17 0,Other
250,Acton Turville,Gloucestershire,England,ST8080,380500,180500,51.52307,-2.28246,GL9 1,Other
251,Adabroc,Na h-Eileanan an Iar,Scotland,NB5363,153500,963500,58.48978,-6.23146,HS2 0,Other
